,index,days_cancel,severe_toxicity,group
0,0,-183.0,0.17451305834782607,kpop
1,1,-182.0,0.16777937984057972,kpop
2,2,-181.0,0.13944171759156648,kpop
3,3,-180.0,0.14213429683092837,kpop
4,4,-179.0,0.141389136049553,kpop
5,5,-178.0,0.14615656759732704,kpop
6,6,-177.0,0.1448609400987723,kpop
7,7,-176.0,0.1387246478858534,kpop
8,8,-175.0,0.14013067952286137,kpop
9,9,-174.0,0.13725820708544176,kpop
10,10,-173.0,0.13383819161404628,kpop
11,11,-172.0,0.13533440800431107,kpop
12,12,-171.0,0.12833326078918553,kpop
13,13,-170.0,0.12188861443970712,kpop
14,14,-169.0,0.12429835815708677,kpop
15,15,-168.0,0.1240481489575791,kpop
16,16,-167.0,0.12681100829025255,kpop
17,17,-166.0,0.130317393745294,kpop
18,18,-165.0,0.12476020339423269,kpop
19,19,-164.0,0.12702008195842562,kpop
20,20,-163.0,0.13406013165703407,kpop
21,21,-162.0,0.13494053758972058,kpop
22,22,-161.0,0.12931276614453258,kpop
23,23,-160.0,0.13053761010949946,kpop
24,24,-159.0,0.13465690079493273,kpop
25,25,-158.0,0.14153765455294667,kpop
26,26,-157.0,0.13988891274598858,kpop
27,27,-156.0,0.13815743147163384,kpop
28,28,-155.0,0.13911362715222422,kpop
29,29,-154.0,0.14294113427019756,kpop
30,30,-153.0,0.14264793746351878,kpop
31,31,-152.0,0.13629529459036505,kpop
32,32,-151.0,0.1392450421688362,kpop
33,33,-150.0,0.14073933007216438,kpop
34,34,-149.0,0.13787001446066882,kpop
35,35,-148.0,0.13586608595651145,kpop
36,36,-147.0,0.13654947555640679,kpop
37,37,-146.0,0.13827477456096093,kpop
38,38,-145.0,0.14341874269603416,kpop
39,39,-144.0,0.1330865805173269,kpop
40,40,-143.0,0.12854919768315473,kpop
41,41,-142.0,0.13296292488496714,kpop
42,42,-141.0,0.13652352591419412,kpop
43,43,-140.0,0.1411290176831048,kpop
44,44,-139.0,0.14234623269409363,kpop
45,45,-138.0,0.14103086378647392,kpop
46,46,-137.0,0.14565117410422201,kpop
47,47,-136.0,0.1479207526781069,kpop
48,48,-135.0,0.14510836749536987,kpop
49,49,-134.0,0.14726743833571365,kpop
50,50,-133.0,0.1427872413933274,kpop
51,51,-132.0,0.13378497461446368,kpop
52,52,-131.0,0.12517642606956436,kpop
53,53,-130.0,0.11726397570514618,kpop
54,54,-129.0,0.11835194958639358,kpop
55,55,-128.0,0.11457692552366674,kpop
56,56,-127.0,0.10837839119141379,kpop
57,57,-126.0,0.10587203200412788,kpop
58,58,-125.0,0.10784466694632563,kpop
59,59,-124.0,0.11158130457468075,kpop
60,60,-123.0,0.11784254132388784,kpop
61,61,-122.0,0.11625663961154498,kpop
62,62,-121.0,0.12249358000144563,kpop
63,63,-120.0,0.1280764328138204,kpop
64,64,-119.0,0.13195330974282493,kpop
65,65,-118.0,0.13012695425326024,kpop
66,66,-117.0,0.13116066103889468,kpop
67,67,-116.0,0.12959991674637295,kpop
68,68,-115.0,0.13043144421203512,kpop
